
Epoch Number 38 , DiscRealLoss:1.0857340097427368,DiscFakeLoss:11.264557838439941,GeneratorLoss:74.19834899902344%
Epoch Number 39 , DiscRealLoss:1.0986055135726929,DiscFakeLoss:11.879734992980957,GeneratorLoss:81.32937622070312%
Epoch Number 39 , DiscRealLoss:1.0715762376785278,DiscFakeLoss:11.661944389343262,GeneratorLoss:81.84956359863281%
Epoch Number 40 , DiscRealLoss:1.1559323072433472,DiscFakeLoss:11.711885452270508,GeneratorLoss:80.05705261230469%
Epoch Number 41 , DiscRealLoss:1.1117732524871826,DiscFakeLoss:10.493812561035156,GeneratorLoss:81.64452362060547%
Epoch Number 42 , DiscRealLoss:1.0309937000274658,DiscFakeLoss:11.697331428527832,GeneratorLoss:90.57319641113281%
Epoch Number 43 , DiscRealLoss:1.1017749309539795,DiscFakeLoss:12.621502876281738,GeneratorLoss:74.56585693359375%
Epoch Number 44 , DiscRealLoss:1.5155843496322632,DiscFakeLoss:15.273590087890625,GeneratorLoss:78.16828155517578%
Epoch Number 45 , DiscRealLoss:1.2449951171875,DiscFakeLoss:11.477925300598145,GeneratorLoss:93.23570251464844%
Epoch Number 46 , DiscRealLoss:1.1545628309249878,DiscFakeLoss:11.568069458007812,GeneratorLoss:88.84596252441406%
Epoch Number 47 , DiscRealLoss:1.022829294204712,DiscFakeLoss:12.09748649597168,GeneratorLoss:88.80473327636719%
Epoch Number 48 , DiscRealLoss:1.1518453359603882,DiscFakeLoss:11.663064002990723,GeneratorLoss:82.34430694580078%
Epoch Number 49 , DiscRealLoss:1.0592799186706543,DiscFakeLoss:12.233304977416992,GeneratorLoss:83.3525619506836%
Epoch Number 50 , DiscRealLoss:1.1818519830703735,DiscFakeLoss:11.856062889099121,GeneratorLoss:80.31067657470703%
Epoch Number 51 , DiscRealLoss:1.0066345930099487,DiscFakeLoss:12.645584106445312,GeneratorLoss:90.53831481933594%
Epoch Number 52 , DiscRealLoss:1.1996489763259888,DiscFakeLoss:11.463247299194336,GeneratorLoss:68.58036804199219%
Epoch Number 53 , DiscRealLoss:1.2472690343856812,DiscFakeLoss:12.017271041870117,GeneratorLoss:88.04933166503906%
Epoch Number 54 , DiscRealLoss:1.1537293195724487,DiscFakeLoss:13.305705070495605,GeneratorLoss:77.22590637207031%
Epoch Number 54 , DiscRealLoss:1.188335657119751,DiscFakeLoss:12.15340518951416,GeneratorLoss:88.20045471191406%
Epoch Number 55 , DiscRealLoss:1.2479898929595947,DiscFakeLoss:12.17898941040039,GeneratorLoss:75.98396301269531%
Epoch Number 56 , DiscRealLoss:1.327704668045044,DiscFakeLoss:12.527256965637207,GeneratorLoss:80.83689880371094%
Epoch Number 57 , DiscRealLoss:1.1756433248519897,DiscFakeLoss:11.642984390258789,GeneratorLoss:75.84381103515625%
Epoch Number 58 , DiscRealLoss:1.5333242416381836,DiscFakeLoss:15.33323860168457,GeneratorLoss:84.72925567626953%
Epoch Number 59 , DiscRealLoss:1.5333242416381836,DiscFakeLoss:15.33323860168457,GeneratorLoss:84.86097717285156%
Epoch Number 60 , DiscRealLoss:1.5333242416381836,DiscFakeLoss:15.33323860168457,GeneratorLoss:74.04413604736328%
Epoch Number 61 , DiscRealLoss:1.2423466444015503,DiscFakeLoss:12.603036880493164,GeneratorLoss:94.9927978515625%
Epoch Number 62 , DiscRealLoss:1.2169084548950195,DiscFakeLoss:12.212693214416504,GeneratorLoss:76.21539306640625%
Epoch Number 63 , DiscRealLoss:1.205609679222107,DiscFakeLoss:11.914628028869629,GeneratorLoss:91.86190795898438%
